,propertyCode,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,newDevelopmentFinished,typology_inmo,hasparking,parking_price_included,parking_price,zipcode
8771,99480440.0,4,126000.0,flat,sale,75.0,True,3.0,2,ALCALDE SEGISMON,Tarragona,Reus,es,41.1595968,1.1154678,772.0,False,good,False,True,1680.0,True,False,False,False,False,False,True,urban,True,True,0.0,43201
8772,99480700.0,bj,295000.0,flat,sale,58.0,True,2.0,1,barrio Sant Gervasi - La Bonanova,Barcelona,Barcelona,es,41.4040216,2.1411961,3059.0,False,good,False,False,5086.0,True,False,True,False,False,False,True,urban,False,False,0.0,08006
8773,99481176.0,bj,594000.0,chalet,sale,300.0,False,4.0,3,Avenida Vilafortuny,Tarragona,Cambrils,es,41.0849832,1.0929294,7882.0,False,good,False,True,1980.0,False,False,False,False,False,False,True,urban,True,True,0.0,43850
8774,99481330.0,3,249900.0,flat,sale,60.0,True,3.0,1,barrio El Clot,Barcelona,Barcelona,es,41.4087331,2.1946509,3163.0,False,good,False,True,4165.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8775,99481350.0,13,179000.0,flat,sale,90.0,False,2.0,1,"Avenida de las Postas, 17 -15",Málaga,Málaga,es,36.7384059,-4.4194442,509.0,False,good,False,True,1989.0,False,False,False,False,False,False,True,urban,False,False,0.0,29014
8776,99481864.0,bj,1600000.0,chalet,sale,646.0,False,3.0,3,barrio El Gòtic,Barcelona,Barcelona,es,41.3814089,2.1762608,809.0,False,renew,False,True,2477.0,True,False,True,False,False,False,True,urban,False,False,0.0,08002
8777,99482180.0,3,240000.0,flat,sale,65.0,False,2.0,1,barrio Sants - Badal,Barcelona,Barcelona,es,41.3786731,2.1273615,3684.0,True,good,False,True,3692.0,True,False,True,False,False,False,True,urban,False,False,0.0,08001
8778,99482240.0,bj,117000.0,flat,sale,123.0,False,3.0,2,Calleja del Portugués,Cáceres,Trujillo,es,39.4542455,-5.8820509,10894.0,False,good,False,False,951.0,False,False,False,False,False,False,True,urban,False,False,0.0,10200
8779,99482300.0,bj,338000.0,flat,sale,56.0,False,1.0,1,Calle de València,Tarragona,Salou,es,41.0744575,1.1229701,9020.0,False,good,False,True,6036.0,False,False,False,False,False,False,True,urban,False,False,0.0,43840
8780,99482376.0,bj,408600.0,flat,sale,94.0,False,2.0,2,Calle de Robert d'Aguiló,Tarragona,Vila-Seca,es,41.1107861,1.1544859,6222.0,False,good,False,True,4347.0,False,False,False,False,False,False,True,urban,False,False,0.0,43480
8781,99482380.0,bj,98800.0,flat,sale,88.0,False,2.0,2,Calle Farguell,Barcelona,Gironella,es,42.0339718,1.8820676,49985.0,False,good,False,True,1123.0,False,False,False,False,False,False,True,urban,False,False,0.0,08680
8782,99482420.0,bj,78000.0,flat,sale,60.0,False,1.0,1,Calle Sant Lluís,Barcelona,Olvan,es,42.0686696,1.8706293,46595.0,False,good,False,False,1300.0,False,False,False,False,False,False,True,urban,False,False,0.0,08611
8783,99482424.0,bj,234000.0,flat,sale,108.0,False,2.0,2,Calle de Mossèn Lluís Batlle,Tarragona,Vila-Seca,es,41.1057447,1.1438319,6203.0,False,good,False,False,2167.0,False,False,False,False,False,False,True,urban,False,False,0.0,43480
8784,99482470.0,bj,230200.0,flat,sale,43.0,False,1.0,1,Calle Castell de Tamarit,Tarragona,Cambrils,es,41.0794001,1.1055228,8395.0,False,good,False,False,5353.0,False,False,False,False,False,False,True,urban,False,False,0.0,43850
8785,99482980.0,bj,94530.0,flat,sale,73.0,True,3.0,2,Calle Vint-I-Set,Tarragona,Bonavista,es,41.1233458,1.1925762,7848.0,False,good,False,True,1295.0,True,False,False,False,False,False,True,urban,False,False,0.0,43001
8786,99483070.0,5,270000.0,flat,sale,70.0,True,2.0,1,"Calle Cuarteles, 37",Málaga,Málaga,es,36.7130958,-4.4286242,2421.0,True,good,False,True,3857.0,True,False,True,False,False,False,True,urban,False,False,0.0,29002
8787,99483090.0,1,243000.0,flat,sale,104.0,True,3.0,2,barrio Santa Eulalia,Murcia,Murcia,es,37.9875123,-1.12396,1082.0,False,good,False,True,2337.0,False,False,False,False,False,False,True,urban,True,True,0.0,30003
8788,99483144.0,bj,98000.0,chalet,sale,192.0,False,3.0,2,"Alto Calvario, 18",Teruel,Monreal del Campo,es,40.7851201,-1.3552599,47994.0,False,good,False,True,510.0,False,False,False,False,False,False,True,residential,True,True,0.0,44300
8789,99483220.0,3,124999.0,flat,sale,60.0,True,2.0,1,Calle del Vent,Tarragona,Reus,es,41.1538889,1.1044408,373.0,False,good,False,True,2083.0,False,False,False,False,False,False,True,urban,False,False,0.0,43201
8790,99483410.0,4,1200000.0,penthouse,sale,220.0,True,4.0,2,Calle de Padua,Barcelona,Barcelona,es,41.4075606,2.1453377,3078.0,True,good,False,True,5455.0,True,False,True,False,False,False,True,urban,False,False,0.0,08023
8791,99483496.0,bj,119000.0,flat,sale,95.0,True,3.0,2,Calle gloria,Las Palmas,Telde,es,27.9991584,-15.4391023,5979.0,False,good,False,True,1253.0,False,False,False,False,False,False,True,urban,True,True,0.0,35200
