Columna1;propertyCode;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;country;latitude;longitude;distance;hasVideo;status;newDevelopment;hasLift;priceByArea;hasPlan;has3DTour;has360;hasStaging;superTopHighlight;topNewDevelopment;newDevelopmentFinished;typology_inmo;hasparking;parking_price_included;parking_price;zipcode
67;39004464.0;bj;760000;chalet;sale;393;False;4;3;barrio Quatre Camins;Tarragona;Cambrils;es;410.747.702;10.907.273;9032;False;good;False;True;1934;False;False;False;False;False;False;True;urban;True;True;0;43850
68;39366196.0;bj;389000;chalet;sale;280;False;3;3;barrio Altorreal-El Chorrico;Murcia;Molina de Segura;es;380.620.205;-11.813.158;8607;False;good;False;True;1389;True;False;False;False;False;False;True;urban;True;True;0;30506
69;39383010.0;3;128000;flat;sale;85;True;4;1;Avenida de la Diputació;Tarragona;Cambrils;es;410.696.598;10.943.242;9550;True;renew;False;False;1506;False;True;False;False;False;False;True;urban;False;False;0;43850
70;39670188.0;2;85000;flat;sale;41;True;1;1;Calle de I'Ebre, 5;Tarragona;Cambrils;es;410.704.756;10.858.682;9576;False;good;False;True;2073;True;False;True;False;False;False;True;urban;False;False;0;43850
71;39700344.0;bj;160000;chalet;sale;150;False;4;1;barranco de los santiagos, 1;Las Palmas;Valsequillo de Gran Canaria;es;279.885.163;-155.113.046;1691;False;renew;False;True;1067;False;False;False;False;False;False;True;urban;False;False;0;35216
72;39758184.0;5;450000;penthouse;sale;56;True;1;1;Roger de Lluria;Barcelona;Barcelona;es;413.937.838;21.697.433;754;False;good;False;True;8036;True;False;True;False;False;False;True;urban;False;False;0;8001
73;39821116.0;bj;210000;countryHouse;sale;280;False;5;3;La Vila-Darremur;Castellón;Almazora/Almassora;es;399.391.058;-0.0597536;8341;False;good;False;True;750;False;False;False;False;False;False;True;rural;True;True;0;12550
74;39888004.0;bj;92260;chalet;sale;318;False;7;2;Calle de Gentil i Vellet;Tarragona;La Selva del Camp;es;412.133.866;11.374.911;6937;False;renew;False;True;290;False;False;False;False;False;False;True;urban;False;False;0;43470
75;39927560.0;bj;370000;chalet;sale;320;False;5;3;Vila-Seca;Tarragona;Vila-Seca;es;411.099.139;11.428.531;5758;False;good;False;True;1156;False;False;False;False;False;False;True;residential;True;True;0;43480
76;39985224.0;22;398000;flat;sale;136;True;3;2;Avenida de les Corts Valencianes s/n;València;València;es;39.490.727;-0.3997691;3021;False;good;False;True;2926;False;False;False;False;False;False;True;urban;False;False;0;46015
77;40311336.0;bj;490000;chalet;sale;320;False;3;3;CUBA, 7;Madrid;Leganés;es;403.385.021;-37.679.398;10307;False;good;False;True;1531;False;False;False;False;False;False;True;residential;True;True;0;28913
78;40343190.0;bj;235000;flat;sale;140;False;4;2;Carrer de la Trinitat;Castellón;Castellón de la Plana / Castello de la Plana;es;399.847.005;-0.0377839;13682;False;good;False;True;1679;False;False;False;False;False;False;True;urban;False;False;0;12001
79;81234984.0;2;140000;flat;sale;80;True;2;2;barrio San Benito-Progreso;Murcia;Murcia;es;379.645.804;-11.174.017;3663;False;good;False;True;1750;True;False;False;False;False;False;True;urban;True;True;0;30011
80;81263250.0;bj;225000;countryHouse;sale;117;False;3;2;Barranco de Mireles, 43;Las Palmas;Vega de San Mateo;es;280.082.652;-155.285.523;2949;False;good;False;True;1923;False;False;False;False;False;False;True;rural;True;True;0;35320
81;81316840.0;bj;760000;chalet;sale;205;False;4;2;La Cortinada;Andorra;Ordino;es;425.700.066;15.182.723;24198;False;good;False;True;3707;False;False;False;False;False;False;True;residential;False;False;0;AD300
82;81316870.0;5;590000;flat;sale;130;False;3;3;Ordino pueblo;Andorra;Ordino;es;425.489.889;15.360.421;22278;False;good;False;True;4538;False;False;False;False;False;False;True;urban;True;True;0;AD300
83;81337570.0;bj;450000;chalet;sale;454;False;8;3;Calle Calvo Sotelo s/n;Las Palmas;Santa Brigida;es;280.330.043;-154.986.648;3672;False;good;False;True;991;True;False;False;False;False;False;True;residential;False;False;0;35300
84;81488984.0;1;260000;flat;sale;115;True;4;2;Calle de l'Erudit Orellana;València;València;es;394.716.295;-0.3877029;909;True;good;False;True;2261;False;False;False;False;False;False;True;urban;False;False;0;46008
85;81497200.0;3;160000;flat;sale;78;True;2;1;Avenida Diputación;Tarragona;Cambrils;es;410.694.035;10.911.267;9616;False;good;False;False;2051;False;False;False;False;False;False;True;urban;True;True;0;43850
86;81502560.0;1;190000;flat;sale;55;True;2;1;clot, 201;Barcelona;Barcelona;es;414.161.889;21.911.441;3684;True;good;False;False;3455;True;False;False;False;False;False;True;urban;False;False;0;8027
87;81519580.0;bj;590000;chalet;sale;240;False;4;3;barrio Vilafortuny;Tarragona;Cambrils;es;410.762.046;10.993.598;8781;False;good;False;True;2458;False;False;False;False;False;False;True;urban;True;True;0;43850
88;81789330.0;bj;1944000;chalet;sale;520;False;7;4;Carretera Urb. Bellmont s/n;Andorra;La Massana;es;425.486.147;15.247.389;21995;True;good;False;True;3738;False;False;True;True;False;False;True;residential;True;True;0;AD400
89;81805420.0;bj;235000;chalet;sale;210;False;3;3;Calle Juan Rodriguez Fleitas;Las Palmas;Santa Brigida;es;280.262.247;-154.796.131;3536;False;good;False;True;1119;True;False;True;False;False;False;True;residential;True;True;0;35300
90;81964900.0;bj;735000;chalet;sale;360;False;6;6;dorres s/n;Cerdanya Francesa;Dorres;es;42.484.665;1.941.223;42009;False;good;False;True;2042;False;False;False;False;False;False;True;urban;True;True;0;66760
91;81984660.0;4;245000;flat;sale;140;True;5;2;Cambrils;Tarragona;Salou;es;410.795.687;11.284.764;8534;False;good;False;True;1750;False;False;False;False;False;False;True;urban;True;True;0;43840
92;82008130.0;4;1750000;flat;sale;330;True;4;3;Andorra la Vella;Andorra;Andorra la Vella;es;425.063.156;15.202.359;17361;False;good;False;True;5303;True;False;True;False;False;False;True;urban;False;False;0;AD500
93;82012424.0;3;125000;duplex;sale;176;True;4;3;barrio Espinardo;Murcia;Murcia;es;38.011.434;-11.580.568;2997;False;good;False;True;710;True;False;True;False;False;False;True;residential;True;True;0;30100
94;82014184.0;3;179000;penthouse;sale;130;True;3;3;barrio El Palmar;Murcia;Murcia;es;379.366.839;-1.172.216;7562;True;good;False;True;1377;True;False;False;False;False;False;True;urban;True;True;0;30120
95;82033240.0;1;134000;flat;sale;108;True;3;2;Calle Riu Tordera;Tarragona;Tarragona;es;411.171.628;12.139.231;9757;True;good;False;True;1241;False;False;False;False;False;False;True;urban;True;True;0;43001
96;82120620.0;bj;330000;chalet;sale;200;False;4;3;barrio Els Ametllers;Tarragona;Cambrils;es;410.751.936;10.889.582;9012;False;good;False;True;1650;False;False;False;False;False;False;True;residential;True;True;0;43850
97;82170370.0;bj;38000;chalet;sale;165;False;3;2;Lladorre;Lleida;Lladorre;es;426.371.279;12.471.774;35715;False;renew;False;True;230;False;False;False;False;False;False;True;urban;False;False;0;25576
98;82209384.0;2;98000;flat;sale;38;True;1;1;Eixample;Tarragona;Salou;es;410.705.889;11.487.844;9954;False;good;False;True;2579;False;False;False;False;False;False;True;urban;False;False;0;43840
99;82442370.0;bj;325000;chalet;sale;243;False;4;3;Mestral;Tarragona;Reus;es;411.612.621;11.025.303;879;False;good;False;True;1337;False;False;False;False;False;False;True;residential;True;True;0;43201
100;82499656.0;1;85000;flat;sale;38;True;1;1;Calle de Carles Buïgas, Salou;Tarragona;Salou;es;410.728.001;11.457.101;9637;False;good;False;True;2237;False;False;False;False;False;False;True;urban;False;False;0;43840
101;82512904.0;2;168000;flat;sale;78;True;3;1;Valencia;Tarragona;Salou;es;410.753.113;11.169.826;8873;False;good;False;True;2154;False;False;False;False;False;False;True;urban;False;False;0;43840
102;82521570.0;1;367000;flat;sale;140;True;3;3;Salou de Llevant;Tarragona;Salou;es;410.754.148;1.137.377;9155;False;good;False;False;2621;False;False;False;False;False;False;True;urban;True;True;0;43840
103;82543430.0;2;285000;flat;sale;154;True;4;2;barrio Zona Parque Geólogo José Royo Gómez;Castellón;Castellón de la Plana / Castello de la Plana;es;399.794.352;-0.039877;13071;False;good;False;True;1851;False;False;False;False;False;False;True;urban;False;False;0;12005
104;82621340.0;bj;735000;chalet;sale;140;False;3;3;barrio Mas de Clariana;Tarragona;Cambrils;es;410.803.464;11.050.062;8292;False;good;False;True;5250;False;False;False;False;False;False;True;urban;True;True;0;43850
105;82628990.0;bj;420000;chalet;sale;260;False;4;2;Calle de l'Avenc, Xalets de Salou;Tarragona;Salou;es;410.813.079;11.688.914;9608;False;good;False;True;1615;False;False;False;False;False;False;True;urban;True;True;0;43480
106;82792376.0;3;209000;flat;sale;75;False;3;1;Calle cadiz;Zaragoza;Zaragoza;es;416.518.636;-0.8847018;274;False;renew;False;True;2787;True;False;True;False;False;False;True;urban;False;False;0;50004
107;82837750.0;1;178000;flat;sale;120;True;3;2;barrio Zona Estación-Universidad;Castellón;Castellón de la Plana / Castello de la Plana;es;399.898.745;-0.0507639;14037;False;good;False;True;1483;False;False;False;False;False;False;True;urban;True;True;0;12006
108;82928424.0;bj;420000;chalet;sale;233;False;5;1;Camino de la Pedra Estela;Tarragona;Reus;es;411.447.533;11.038.063;1197;False;good;False;True;1803;False;False;False;False;False;False;True;urban;False;False;0;43201
109;82949680.0;8;400000;duplex;sale;260;True;5;3;barrio Zona Parque Geólogo José Royo Gómez;Castellón;Castellón de la Plana / Castello de la Plana;es;399.761.756;-0.0350973;12821;True;good;False;True;1538;False;False;False;False;False;False;True;residential;True;True;0;12005
110;82950184.0;3;99000;flat;sale;100;True;3;2;PUERTO;Castellón;Moncófar;es;398.015.179;-0.1284934;8407;False;good;False;True;990;False;False;False;False;False;False;True;urban;False;False;0;12593
111;82986190.0;3;738000;penthouse;sale;250;True;4;3;Carretera de Pal, AD400 La Massana;Andorra;La Massana;es;425.383.569;14.789.919;20259;False;good;False;False;2952;False;False;False;False;False;False;True;urban;True;True;0;AD400
112;83017500.0;bj;770000;chalet;sale;205;False;4;3;La Cortinada;Andorra;Ordino;es;42.575.467;151.921;24809;False;good;False;True;3756;False;False;False;False;False;False;True;residential;True;True;0;AD300
113;83033610.0;bj;770000;chalet;sale;215;False;4;2;La Cortinada;Andorra;Ordino;es;425.771.913;15.179.404;24976;False;good;False;True;3581;False;False;False;False;False;False;True;residential;True;True;0;AD300
114;83109980.0;7;155000;flat;sale;90;True;2;2;Avenida de Cataluña;Zaragoza;Zaragoza;es;416.627.508;-0.8617279;1495;False;good;False;True;1722;True;False;False;False;False;False;True;urban;False;False;0;50014
115;83127050.0;3;129950;duplex;sale;98;True;2;2;Urbanización Vega de la Selva, 7;Teruel;Alcalá de la Selva;es;403.716.619;-0.6893892;57565;False;good;False;True;1326;False;False;False;False;False;False;True;residential;True;True;0;44431
116;83175010.0;2;97900;flat;sale;147;False;3;2;Avenida Transport;Castellón;Burriana;es;398.829.059;-0.0905816;2394;False;good;False;True;666;False;False;False;False;False;False;True;urban;True;True;0;12530
117;83217256.0;bj;420000;chalet;sale;280;False;5;2;Camino Las Arenillas, 18;Las Palmas;Santa Brigida;es;280.321.072;-154.716.772;4524;False;good;False;True;1500;False;False;False;False;False;False;True;urban;True;True;0;35300
118;83262640.0;7;585000;penthouse;sale;60;True;2;2;Paseo de Jaume I, 10;Tarragona;Salou;es;410.754.409;11.356.394;9115;False;good;False;True;9750;False;False;False;False;False;False;True;urban;False;False;0;43840
